№,Team,M,W,D,L,G,GA,PTS,xG,xGA,xPTS
1,Liverpool,38,32,3,3,85,33,99,75.19-9.81,39.57+6.57,74.28-24.72
2,Manchester City,38,26,3,9,102,35,81,102.21+0.21,37.00+2.00,86.76+5.76
3,Manchester United,38,18,12,8,66,36,66,66.19+0.19,38.06+2.06,70.99+4.99
4,Chelsea,38,20,6,12,69,54,66,76.23+7.23,41.09-12.91,73.49+7.49
5,Leicester,38,18,8,12,67,41,62,61.02-5.98,47.89+6.89,61.16-0.84
6,Tottenham,38,16,11,11,61,47,59,49.02-11.98,54.13+7.13,49.26-9.74
7,Wolverhampton Wanderers,38,15,14,9,51,40,59,54.22+3.22,37.39-2.61,63.82+4.82
8,Arsenal,38,14,14,10,56,48,56,50.82-5.18,57.25+9.25,50.15-5.85
9,Sheffield United,38,14,12,12,39,39,54,45.81+6.81,52.04+13.04,49.34-4.66
10,Burnley,38,15,9,14,43,50,54,49.35+6.35,53.84+3.84,49.54-4.46
11,Southampton,38,15,7,16,51,60,52,56.50+5.50,56.59-3.41,56.87+4.87
12,Everton,38,13,10,15,44,56,49,53.71+9.71,49.21-6.79,55.78+6.78
13,Newcastle United,38,11,11,16,38,58,44,36.49-1.51,67.03+9.03,31.92-12.08
14,Crystal Palace,38,11,10,17,31,50,43,34.45+3.45,57.39+7.39,38.26-4.74
15,Brighton,38,9,14,15,39,54,41,47.42+8.42,60.42+6.42,48.02+7.02
16,West Ham,38,10,9,19,49,62,39,49.07+0.07,68.32+6.32,38.75-0.25
17,Aston Villa,38,9,8,21,41,67,35,45.09+4.09,71.60+4.60,37.23+2.23
18,Bournemouth,38,9,7,22,40,65,34,44.67+4.67,63.29-1.71,39.20+5.20
19,Watford,38,8,10,20,36,64,34,48.56+12.56,59.53-4.47,47.87+13.87
20,Norwich,38,5,6,27,26,75,21,37.23+11.23,71.61-3.39,33.12+12.12
