№,Team,M,W,D,L,G,GA,PTS,xG,xGA,xPTS
1,Manchester City,38,28,5,5,94,33,89,84.32-9.68,34.21+1.21,83.04-5.96
2,Arsenal,38,26,6,6,88,43,84,76.51-11.49,45.16+2.16,72.53-11.47
3,Manchester United,38,23,6,9,58,43,75,71.90+13.90,50.29+7.29,66.40-8.60
4,Newcastle United,38,19,14,5,68,33,71,76.98+8.98,41.86+8.86,71.67+0.67
5,Liverpool,38,19,10,9,75,47,67,80.77+5.77,55.77+8.77,67.37+0.37
6,Brighton,38,18,8,12,72,53,62,77.72+5.72,50.15-2.85,70.86+8.86
7,Aston Villa,38,18,7,13,51,46,61,50.00-1.00,53.96+7.96,54.37-6.63
8,Tottenham,38,18,6,14,70,63,60,57.83-12.17,51.66-11.34,57.60-2.40
9,Brentford,38,15,14,9,58,46,59,59.23+1.23,51.45+5.45,58.26-0.74
10,Fulham,38,15,7,16,55,53,52,47.98-7.02,71.49+18.49,39.24-12.76
11,Crystal Palace,38,11,12,15,40,49,45,40.72+0.72,51.63+2.63,44.24-0.76
12,Chelsea,38,11,11,16,38,47,44,51.89+13.89,54.02+7.02,52.28+8.28
13,Wolverhampton Wanderers,38,11,8,19,31,58,41,35.13+4.13,62.68+4.68,35.01-5.99
14,West Ham,38,11,7,20,42,55,40,51.21+9.21,55.31+0.31,51.62+11.62
15,Bournemouth,38,11,6,21,37,71,39,40.08+3.08,67.60-3.40,34.73-4.27
16,Nottingham Forest,38,9,11,18,38,68,38,39.57+1.57,68.46+0.46,35.05-2.95
17,Everton,38,8,12,18,34,57,36,48.65+14.65,68.58+11.58,40.71+4.71
18,Leicester,38,9,7,22,51,68,34,48.99-2.01,59.79-8.21,45.07+11.07
19,Leeds,38,7,10,21,48,78,31,47.80-0.20,69.58-8.42,40.58+9.58
20,Southampton,38,6,7,25,36,73,25,39.27+3.27,62.90-10.10,36.47+11.47
